prior,eta,sensors_placed,convergence_iters,total_updates,F1,F2,inference_time_s
Prior_A_Uniform,1,J11,1,1,0.8452,0.8452,0.01
Prior_A_Uniform,2,"J11, J10","1, 2",3,0.1548,0.8462,0.05
Prior_A_Uniform,3,"J11, J10, J9","1, 2, 2",5,0.1538,0.8462,0.05
Prior_B_Topo,1,J11,1,1,0.879,0.879,0.01
Prior_B_Topo,2,"J11, J10","1, 2",3,0.161,0.88,0.01
Prior_B_Topo,3,"J11, J10, J9","1, 2, 2",5,0.16,0.88,0.03
Prior_C_Flux,1,J_out,3,3,0.6221,0.6221,0.01
Prior_C_Flux,2,"J_out, SU1","2, 3",5,0.1138,0.6317,0.01
Prior_C_Flux,3,"J_out, J11, J10","2, 1, 3",6,0.5946,1.0,0.02
Prior_D_ContamFlux,1,J11,2,2,0.8848,0.8848,0.01
Prior_D_ContamFlux,2,"J11, J10","2, 2",4,0.193,0.8857,0.01
Prior_D_ContamFlux,3,"J11, J10, J9","3, 1, 1",5,0.1922,0.8857,0.01
ML_GAT,1,J11,2,2,0.9992,0.9992,0.01
ML_GAT,2,"J11, J10","2, 2",4,0.2205,1.0,0.01
ML_GAT,3,"J11, J10, J9","2, 3, 1",6,0.2197,1.0,0.01
ML_GCN,1,J11,2,2,0.9992,0.9992,0.01
ML_GCN,2,"J11, J10","2, 3",5,0.2216,1.0,0.01
ML_GCN,3,"J11, J10, J9","2, 2, 2",6,0.2208,1.0,0.02
ML_LGBM,1,J11,2,2,0.8334,0.8334,0.01
ML_LGBM,2,"J11, J10","2, 2",4,0.1619,0.8339,0.01
ML_LGBM,3,"J11, J10, J9","3, 1, 1",5,0.1613,0.8339,0.01
ML_MLP,1,J11,2,2,0.7407,0.7407,0.01
ML_MLP,2,"J11, J10","2, 2",4,0.1287,0.7414,0.02
ML_MLP,3,"J11, J10, J9","2, 2, 2",6,0.128,0.7414,0.02
ML_XGB,1,J11,2,2,0.7802,0.7802,0.01
ML_XGB,2,"J11, J10","2, 2",4,0.1605,0.7808,0.01
ML_XGB,3,"J11, J10, J9","3, 1, 1",5,0.16,0.7808,0.01
