node_id,raw_pred,prior_prob
J1,0.042482,0.011372
J2a,0.045406,0.012155
J2,0.0487,0.013036
J7,0.04864,0.01302
J12,0.054949,0.014709
J13,0.044617,0.011944
J3,0.060991,0.016327
J4,0.134553,0.036019
J5,0.142528,0.038153
J6,0.227996,0.061032
J8,0.182586,0.048877
J9,0.214457,0.057408
J10,0.239723,0.064172
J11,0.263255,0.070471
Aux3,0.061962,0.016587
JI18,0.155861,0.041723
JI2,0.147949,0.039604
JI3,0.166407,0.044546
JI4,0.30354,0.081255
JI5,0.321575,0.086083
JI6,0.050328,0.013472
JI7,0.060974,0.016322
JI8,0.061621,0.016495
JI9,0.05904,0.015805
JI10,0.263247,0.070469
JI11,0.153098,0.040983
JI12,0.104576,0.027994
JI13,0.074594,0.019968
O1,0.213476,0.0
O2,0.117517,0.0
Well,0.150285,0.0
