node_id,topo_depth,n_upstream,node_type_code,is_high_risk,prior_contam_prob,detection_freq,peak_conc_mean,peak_conc_std,time_to_peak_mean,mean_flow_m3s,mean_vel_ms,n_scenarios_detected
J1,0,0,0,0,0.0625,0.09,974.8888,4749.7462,263.33,3e-06,0.0,9
J5,0,3,0,0,0.0625,0.37,2958.472,6493.1872,423.11,1.4e-05,0.0,37
J2,0,0,0,0,0.0625,0.11,672.4899,2356.6163,216.82,4e-06,0.0,11
J11,0,10,0,0,0.0625,0.89,5853.1055,5961.3731,623.94,4.1e-05,0.000114,89
J3,0,0,0,0,0.0625,0.11,928.0597,3986.928,278.27,4e-06,2e-06,11
J4,0,1,0,1,0.125,0.2,1666.0586,4987.1272,337.1,7e-06,1e-06,20
J6,0,5,0,0,0.0625,0.5,3705.3059,6636.6069,505.8,2.2e-05,1.2e-05,50
J7,0,0,0,0,0.0625,0.06,266.9523,1248.3555,373.83,3e-06,0.0,6
J8,0,6,0,0,0.0625,0.56,4308.5213,6851.0389,537.96,2.5e-05,1.8e-05,56
J9,0,7,0,0,0.0625,0.63,4866.9604,7152.949,605.25,2.8e-05,0.0,63
J10,0,8,0,1,0.125,0.76,5267.5925,6417.8268,578.16,3.5e-05,1e-06,76
SU1,0,11,0,0,0.0625,0.5,2147.5297,3553.4115,840.71,0.000132,6.8e-05,50
J_out,1,0,0,0,0.0625,0.57,2853.0523,5440.2929,764.67,6.7e-05,4e-06,57
O2,0,1,3,0,0.0625,0.57,2733.7294,5344.611,834.67,6.7e-05,2.1e-05,57
